Payment_ID,Payment_Date,Customer_ID,Payment_Method,Gateway,Amount,Payment_Status,Customer_Type,Region,Processing_Time_Min
PAY10033,2025-01-20 10:41:52.187,CUST1229,Credit Card,Cashfree,499.0,Success,New,North,1.29
PAY10034,2025-01-21 01:16:55.693,CUST1134,Unknown,PayU,3999.0,Pending,New,East,17.18
PAY10035,2025-01-21 15:51:59.199,CUST1211,Credit Card,Stripe,1499.0,Refunded,New,North,2.24
PAY10036,2025-01-22 06:27:02.705,CUST1077,Debit Card,Razorpay,999.0,Failed,New,West,14.17
PAY10037,2025-01-22 21:02:06.210,CUST1249,Debit Card,Razorpay,299.0,Success,New,North,7.9
PAY10038,2025-01-23 11:37:09.716,CUST1188,Debit Card,Stripe,2499.0,Success,Returning,Central,8.36
PAY10039,2025-01-24 02:12:13.222,CUST1090,Debit Card,Cashfree,799.0,Success,New,North,9.47
PAY10040,2025-01-24 16:47:16.728,CUST1014,Net Banking,Cashfree,1999.0,Success,Returning,Central,15.91
PAY10041,2025-01-25 07:22:20.234,CUST1095,Wallet,Razorpay,1499.0,Success,Returning,Central,9.02
PAY10042,2025-01-25 21:57:23.740,CUST1054,Credit Card,Razorpay,1499.0,Success,Returning,Central,18.58
PAY10043,2025-01-26 12:32:27.245,CUST1132,Credit Card,Cashfree,1499.0,Success,New,West,13.155000000000001
PAY10044,2025-01-27 03:07:30.751,CUST1039,Debit Card,PayU,299.0,Pending,Returning,North,2.64
PAY10045,2025-01-27 17:42:34.257,CUST1072,Debit Card,Stripe,299.0,Success,New,North,19.81
PAY10046,2025-01-28 08:17:37.763,CUST1025,UPI,Razorpay,799.0,Success,New,West,7.86
PAY10047,2025-01-28 22:52:41.269,CUST1077,Wallet,Razorpay,999.0,Success,New,East,11.39
PAY10048,2025-01-29 13:27:44.775,CUST1160,Net Banking,Cashfree,1499.0,Success,Returning,South,17.45
PAY10049,2025-01-30 04:02:48.280,CUST1187,Credit Card,Stripe,499.0,Success,New,North,8.98
PAY10050,2025-01-30 18:37:51.786,CUST1230,UPI,Cashfree,2999.0,Success,New,South,2.36
PAY10051,2025-01-31 09:12:55.292,CUST1191,UPI,Stripe,499.0,Refunded,New,West,9.97
PAY10052,2025-01-31 23:47:58.798,CUST1166,Credit Card,Stripe,3999.0,Success,Returning,East,23.67
PAY10053,2025-02-01 14:23:02.304,CUST1120,Net Banking,Stripe,499.0,Pending,Returning,East,16.4
PAY10054,2025-02-02 04:58:05.810,CUST1220,UPI,Razorpay,3999.0,Pending,Returning,East,17.12
PAY10055,2025-02-02 19:33:09.316,CUST1053,UPI,PayU,2499.0,Success,New,West,16.17
PAY10056,2025-02-03 10:08:12.821,CUST1222,Wallet,Cashfree,2999.0,Pending,New,Central,5.78
PAY10057,2025-02-04 00:43:16.327,CUST1195,Net Banking,PayU,499.0,Success,Returning,Central,11.04
PAY10058,2025-02-04 15:18:19.833,CUST1156,UPI,Cashfree,2499.0,Success,New,South,19.02
PAY10059,2025-02-05 05:53:23.339,CUST1131,Net Banking,Stripe,1999.0,Success,New,Central,3.43
PAY10060,2025-02-05 20:28:26.845,CUST1237,Credit Card,Razorpay,999.0,Success,Returning,Central,7.67
PAY10061,2025-02-06 11:03:30.351,CUST1246,Debit Card,PayU,2499.0,Success,Returning,East,7.63
PAY10062,2025-02-07 01:38:33.856,CUST1226,UPI,Razorpay,999.0,Success,Returning,East,11.37
PAY10063,2025-02-07 16:13:37.362,CUST1208,Wallet,Cashfree,499.0,Failed,Returning,South,24.53
PAY10064,2025-02-08 06:48:40.868,CUST1150,Credit Card,Razorpay,2499.0,Success,Returning,North,2.62
PAY10065,2025-02-08 21:23:44.374,CUST1096,Net Banking,Razorpay,2999.0,Success,New,South,13.45
PAY10066,2025-02-09 11:58:47.880,CUST1166,Credit Card,PayU,499.0,Success,New,South,5.3
PAY10067,2025-02-10 02:33:51.386,CUST1200,UPI,Stripe,1499.0,Success,Returning,West,24.3
PAY10068,2025-02-10 17:08:54.891,CUST1247,Net Banking,Razorpay,299.0,Failed,New,West,3.72
PAY10069,2025-02-11 07:43:58.397,CUST1072,Debit Card,Stripe,2499.0,Success,Returning,South,10.69
PAY10070,2025-02-11 22:19:01.903,CUST1062,Credit Card,Cashfree,2999.0,Refunded,New,South,18.71
PAY10071,2025-02-12 12:54:05.409,CUST1185,UPI,Razorpay,1999.0,Success,New,South,17.91
PAY10072,2025-02-13 03:29:08.915,CUST1006,Wallet,PayU,1499.0,Success,Returning,Central,11.15
PAY10073,2025-02-13 18:04:12.421,CUST1206,Net Banking,Cashfree,1999.0,Success,Returning,West,9.32
PAY10074,2025-02-14 08:39:15.927,CUST1032,Credit Card,Cashfree,499.0,Failed,Returning,South,10.54
PAY10075,2025-02-14 23:14:19.432,CUST1099,Credit Card,PayU,299.0,Success,New,East,7.34
PAY10076,2025-02-15 13:49:22.938,CUST1138,Debit Card,Unknown,2499.0,Success,Returning,East,5.93
PAY10077,2025-02-16 04:24:26.444,CUST1131,Debit Card,Razorpay,2499.0,Success,New,Central,12.59
PAY10078,2025-02-16 18:59:29.950,CUST1187,Wallet,Cashfree,499.0,Success,New,Central,7.44
PAY10079,2025-02-17 09:34:33.456,CUST1076,Wallet,Razorpay,499.0,Success,New,North,7.9
PAY10080,2025-02-18 00:09:36.962,CUST1177,UPI,Stripe,299.0,Success,New,North,16.76
PAY10081,2025-02-18 14:44:40.467,CUST1059,UPI,PayU,2999.0,Failed,New,North,24.24
PAY10082,2025-02-19 05:19:43.973,CUST1031,Wallet,Stripe,2999.0,Success,Returning,Central,15.49
PAY10083,2025-02-19 19:54:47.479,CUST1093,Wallet,Razorpay,299.0,Success,Returning,Central,2.85
PAY10084,2025-02-20 10:29:50.985,CUST1069,Net Banking,Cashfree,2999.0,Success,Returning,Central,2.81
PAY10085,2025-02-21 01:04:54.491,CUST1190,Debit Card,PayU,3999.0,Success,New,East,23.83
PAY10086,2025-02-21 15:39:57.997,CUST1052,UPI,Razorpay,999.0,Success,Returning,Central,8.13
PAY10087,2025-02-22 06:15:01.503,CUST1089,Debit Card,Razorpay,299.0,Success,Returning,East,3.21
PAY10088,2025-02-22 20:50:05.008,CUST1127,Debit Card,Cashfree,299.0,Success,Returning,North,15.38
PAY10089,2025-02-23 11:25:08.514,CUST1169,Wallet,Cashfree,799.0,Pending,New,North,15.97
PAY10090,2025-02-24 02:00:12.020,CUST1031,Net Banking,Stripe,1499.0,Success,New,North,16.56
PAY10091,2025-02-24 16:35:15.526,CUST1213,Credit Card,PayU,1499.0,Success,New,South,7.42
PAY10092,2025-02-25 07:10:19.032,CUST1250,Net Banking,PayU,3999.0,Success,New,South,1.36
PAY10093,2025-02-25 21:45:22.538,CUST1084,Net Banking,Cashfree,499.0,Success,New,West,24.16
PAY10094,2025-02-26 12:20:26.043,CUST1231,Debit Card,Stripe,499.0,Success,Returning,West,7.02
PAY10095,2025-02-27 02:55:29.549,CUST1127,Net Banking,PayU,1999.0,Success,New,West,17.22
PAY10096,2025-02-27 17:30:33.055,CUST1150,UPI,Cashfree,3999.0,Success,New,South,17.96
PAY10097,2025-02-28 08:05:36.561,CUST1132,Debit Card,Razorpay,299.0,Success,New,South,15.64
PAY10098,2025-02-28 22:40:40.067,CUST1013,UPI,PayU,1499.0,Success,New,West,8.51
PAY10099,2025-03-01 13:15:43.573,CUST1045,Credit Card,Stripe,3999.0,Success,New,West,7.51
PAY10100,2025-03-02 03:50:47.078,CUST1127,Debit Card,Stripe,3999.0,Success,New,Central,15.34
PAY10101,2025-03-02 18:25:50.584,CUST1170,Credit Card,Stripe,1499.0,Success,New,West,21.79
PAY10102,2025-03-03 09:00:54.090,CUST1114,Debit Card,Razorpay,3999.0,Success,Returning,Central,23.72
PAY10103,2025-03-03 23:35:57.596,CUST1177,Wallet,PayU,999.0,Success,Returning,East,3.54
PAY10104,2025-03-04 14:11:01.102,CUST1020,Net Banking,PayU,499.0,Success,New,South,4.72
PAY10105,2025-03-05 04:46:04.608,CUST1244,Wallet,Razorpay,1999.0,Pending,New,West,23.67
PAY10106,2025-03-05 19:21:08.114,CUST1205,Credit Card,PayU,999.0,Success,Returning,South,18.68
PAY10107,2025-03-06 09:56:11.619,CUST1081,Net Banking,Razorpay,1999.0,Success,New,South,22.19
PAY10108,2025-03-07 00:31:15.125,CUST1182,Debit Card,Razorpay,799.0,Success,New,South,5.86
PAY10109,2025-03-07 15:06:18.631,CUST1164,Net Banking,Razorpay,1999.0,Success,Returning,East,15.1
PAY10110,2025-03-08 05:41:22.137,CUST1225,UPI,Stripe,499.0,Success,New,North,17.83
PAY10111,2025-03-08 20:16:25.643,CUST1129,Net Banking,PayU,499.0,Success,New,West,17.32
PAY10112,2025-03-09 10:51:29.149,CUST1143,UPI,Razorpay,3999.0,Success,New,North,10.8
PAY10113,2025-03-10 01:26:32.654,CUST1205,Net Banking,PayU,2499.0,Pending,New,North,1.37
PAY10114,2025-03-10 16:01:36.160,CUST1017,UPI,Stripe,799.0,Failed,New,North,14.99
PAY10115,2025-03-11 06:36:39.666,CUST1152,Credit Card,Razorpay,299.0,Success,Returning,South,7.07
PAY10116,2025-03-11 21:11:43.172,CUST1058,Wallet,Cashfree,2999.0,Failed,New,Central,11.81
PAY10117,2025-03-12 11:46:46.678,CUST1072,Debit Card,Stripe,1999.0,Failed,New,South,23.98
PAY10118,2025-03-13 02:21:50.184,CUST1242,Net Banking,Cashfree,2499.0,Success,Returning,South,10.58
PAY10119,2025-03-13 16:56:53.689,CUST1219,Wallet,PayU,3999.0,Pending,New,North,21.16
PAY10120,2025-03-14 07:31:57.195,CUST1109,Debit Card,PayU,1499.0,Success,New,South,5.52
PAY10121,2025-03-14 22:07:00.701,CUST1023,Debit Card,Stripe,299.0,Failed,Returning,North,17.14
PAY10122,2025-03-15 12:42:04.207,CUST1174,UPI,PayU,2499.0,Pending,New,Central,24.45
PAY10123,2025-03-16 03:17:07.713,CUST1072,Credit Card,Cashfree,1499.0,Success,Returning,West,3.45
PAY10124,2025-03-16 17:52:11.219,CUST1008,Credit Card,Razorpay,799.0,Success,Returning,North,1.2
PAY10125,2025-03-17 08:27:14.725,CUST1059,Wallet,Razorpay,3999.0,Success,Returning,Central,11.41
PAY10126,2025-03-17 23:02:18.230,CUST1218,Credit Card,Razorpay,299.0,Success,New,West,3.22
PAY10127,2025-03-18 13:37:21.736,CUST1111,Net Banking,Stripe,299.0,Failed,Returning,East,18.96
PAY10128,2025-03-19 04:12:25.242,CUST1187,Credit Card,PayU,299.0,Failed,New,North,22.95
PAY10129,2025-03-19 18:47:28.748,CUST1013,Wallet,Cashfree,799.0,Success,Returning,North,11.42
PAY10130,2025-03-20 09:22:32.254,CUST1167,Credit Card,PayU,1999.0,Success,New,East,7.21
PAY10131,2025-03-20 23:57:35.760,CUST1229,Net Banking,PayU,799.0,Success,New,East,11.43
PAY10132,2025-03-21 14:32:39.265,CUST1241,UPI,PayU,2999.0,Success,New,North,18.36
PAY10133,2025-03-22 05:07:42.771,CUST1156,Wallet,Razorpay,499.0,Success,Returning,East,1.22
PAY10134,2025-03-22 19:42:46.277,CUST1217,UPI,Cashfree,3999.0,Success,Returning,South,15.15
PAY10135,2025-03-23 10:17:49.783,CUST1189,UPI,Cashfree,799.0,Pending,New,West,15.72
PAY10136,2025-03-24 00:52:53.289,CUST1016,UPI,PayU,1499.0,Success,New,West,16.3
PAY10137,2025-03-24 15:27:56.795,CUST1119,Debit Card,Razorpay,2999.0,Success,Returning,West,6.81
PAY10138,2025-03-25 06:03:00.300,CUST1002,Debit Card,Razorpay,499.0,Success,New,South,18.14
PAY10139,2025-03-25 20:38:03.806,CUST1246,UPI,Cashfree,1999.0,Success,New,East,3.19
PAY10140,2025-03-26 11:13:07.312,CUST1210,Wallet,Razorpay,1499.0,Refunded,Returning,Central,5.78
PAY10141,2025-03-27 01:48:10.818,CUST1145,Net Banking,Razorpay,3999.0,Refunded,New,East,22.06
PAY10142,2025-03-27 16:23:14.324,CUST1030,Net Banking,Razorpay,1499.0,Success,Returning,North,18.73
PAY10143,2025-03-28 06:58:17.830,CUST1103,Credit Card,Stripe,499.0,Success,New,West,1.33
PAY10144,2025-03-28 21:33:21.336,CUST1013,Wallet,PayU,1499.0,Success,New,East,6.96
PAY10145,2025-03-29 12:08:24.841,CUST1096,Debit Card,Cashfree,999.0,Success,New,Central,6.15
PAY10146,2025-03-30 02:43:28.347,CUST1242,UPI,Cashfree,2499.0,Success,Returning,Unknown,7.5
PAY10147,2025-03-30 17:18:31.853,CUST1221,Credit Card,Stripe,1999.0,Success,New,South,6.94
PAY10148,2025-03-31 07:53:35.359,CUST1238,Net Banking,PayU,499.0,Success,New,South,2.5
PAY10149,2025-03-31 22:28:38.865,CUST1094,Debit Card,Cashfree,1499.0,Success,New,Central,12.01
PAY10150,2025-04-01 13:03:42.371,CUST1082,Debit Card,Razorpay,2499.0,Success,Returning,North,18.59
PAY10151,2025-04-02 03:38:45.876,CUST1013,UPI,Cashfree,2499.0,Pending,New,West,15.56
PAY10152,2025-04-02 18:13:49.382,CUST1171,Net Banking,Razorpay,1499.0,Success,New,East,17.15
PAY10153,2025-04-03 08:48:52.888,CUST1213,Wallet,Stripe,3999.0,Success,Returning,North,2.95
PAY10154,2025-04-03 23:23:56.394,CUST1094,Debit Card,Razorpay,999.0,Success,New,South,23.84
PAY10155,2025-04-04 13:58:59.900,CUST1149,UPI,Cashfree,799.0,Refunded,New,Central,21.12
PAY10156,2025-04-05 04:34:03.406,CUST1112,Wallet,Cashfree,999.0,Success,Returning,Central,20.32
PAY10157,2025-04-05 19:09:06.912,CUST1055,Net Banking,Cashfree,1499.0,Success,New,East,20.75
PAY10158,2025-04-06 09:44:10.417,CUST1081,Debit Card,Stripe,1999.0,Success,Returning,Central,23.39
PAY10159,2025-04-07 00:19:13.923,CUST1168,Wallet,Stripe,799.0,Success,New,Central,14.06
PAY10160,2025-04-07 14:54:17.429,CUST1211,Wallet,PayU,499.0,Success,Returning,North,5.81
PAY10161,2025-04-08 05:29:20.935,CUST1116,Wallet,Cashfree,999.0,Success,New,West,15.8
PAY10162,2025-04-08 20:04:24.441,CUST1143,Debit Card,Razorpay,1499.0,Success,New,East,18.83
PAY10163,2025-04-09 10:39:27.947,CUST1201,Debit Card,Stripe,999.0,Success,Returning,North,18.71
PAY10164,2025-04-10 01:14:31.452,CUST1180,Credit Card,Cashfree,799.0,Success,Returning,West,13.51
PAY10165,2025-04-10 15:49:34.958,CUST1202,Net Banking,Cashfree,2999.0,Success,New,North,2.64
PAY10166,2025-04-11 06:24:38.464,CUST1108,UPI,Stripe,999.0,Failed,New,North,9.91
PAY10167,2025-04-11 20:59:41.970,CUST1223,Wallet,PayU,499.0,Success,Returning,Central,23.1
PAY10168,2025-04-12 11:34:45.476,CUST1053,Credit Card,Stripe,499.0,Success,New,West,15.03
PAY10169,2025-04-13 02:09:48.982,CUST1215,UPI,Stripe,299.0,Success,Returning,East,13.92
PAY10170,2025-04-13 16:44:52.487,CUST1128,Credit Card,Razorpay,999.0,Success,Returning,East,7.45
PAY10171,2025-04-14 07:19:55.993,CUST1180,Debit Card,Razorpay,3999.0,Success,New,West,9.84
PAY10172,2025-04-14 21:54:59.499,CUST1158,Wallet,PayU,2499.0,Success,New,Central,22.49
PAY10173,2025-04-15 12:30:03.005,CUST1161,UPI,Cashfree,2499.0,Success,Returning,South,17.0
PAY10174,2025-04-16 03:05:06.511,CUST1057,UPI,Stripe,2499.0,Success,New,North,19.9
PAY10175,2025-04-16 17:40:10.017,CUST1052,UPI,PayU,2999.0,Success,New,Central,11.9
PAY10176,2025-04-17 08:15:13.523,CUST1137,UPI,Razorpay,299.0,Success,Returning,West,16.13
PAY10177,2025-04-17 22:50:17.028,CUST1182,UPI,Stripe,2999.0,Success,New,North,6.96
PAY10178,2025-04-18 13:25:20.534,CUST1111,Credit Card,Cashfree,999.0,Success,Returning,East,17.93
PAY10179,2025-04-19 04:00:24.040,CUST1001,Wallet,Razorpay,999.0,Pending,New,South,11.26
PAY10180,2025-04-19 18:35:27.546,CUST1044,Debit Card,Razorpay,999.0,Success,New,East,11.62
PAY10181,2025-04-20 09:10:31.052,CUST1227,Debit Card,Razorpay,1999.0,Success,New,West,16.58
PAY10182,2025-04-20 23:45:34.558,CUST1075,Debit Card,PayU,2499.0,Success,New,North,23.47
PAY10183,2025-04-21 14:20:38.063,CUST1098,Debit Card,Cashfree,1999.0,Pending,New,West,2.54
PAY10184,2025-04-22 04:55:41.569,CUST1208,Credit Card,Stripe,299.0,Failed,New,North,20.79
PAY10185,2025-04-22 19:30:45.075,CUST1009,Net Banking,PayU,2999.0,Success,Returning,Central,8.02
PAY10186,2025-04-23 10:05:48.581,CUST1032,Wallet,PayU,2499.0,Success,New,South,11.65
PAY10187,2025-04-24 00:40:52.087,CUST1015,UPI,PayU,1999.0,Failed,New,Central,1.53
PAY10188,2025-04-24 15:15:55.593,CUST1140,Net Banking,Razorpay,1999.0,Success,New,Central,8.23
PAY10189,2025-04-25 05:50:59.098,CUST1225,Unknown,Cashfree,1499.0,Success,New,West,13.06
PAY10190,2025-04-25 20:26:02.604,CUST1237,Net Banking,PayU,1999.0,Success,New,South,2.35
PAY10191,2025-04-26 11:01:06.110,CUST1206,Wallet,Stripe,3999.0,Success,New,North,12.79
PAY10192,2025-04-27 01:36:09.616,CUST1249,UPI,Cashfree,3999.0,Pending,New,North,23.25
PAY10193,2025-04-27 16:11:13.122,CUST1185,UPI,Stripe,2999.0,Pending,New,East,3.53
PAY10194,2025-04-28 06:46:16.628,CUST1136,Wallet,Cashfree,3999.0,Success,New,North,19.35
PAY10195,2025-04-28 21:21:20.134,CUST1072,Wallet,Stripe,2999.0,Success,Returning,West,10.83
PAY10196,2025-04-29 11:56:23.639,CUST1155,Debit Card,Razorpay,2999.0,Success,New,Central,16.72
PAY10197,2025-04-30 02:31:27.145,CUST1190,UPI,PayU,299.0,Success,New,Central,7.25
PAY10198,2025-04-30 17:06:30.651,CUST1012,Net Banking,Stripe,1499.0,Pending,Returning,Central,4.83
PAY10199,2025-05-01 07:41:34.157,CUST1065,Credit Card,Cashfree,999.0,Pending,New,South,4.85
PAY10200,2025-05-01 22:16:37.663,CUST1107,Credit Card,PayU,499.0,Success,Returning,North,2.69
PAY10201,2025-05-02 12:51:41.169,CUST1232,Wallet,PayU,2999.0,Success,New,West,5.46
PAY10202,2025-05-03 03:26:44.674,CUST1042,Debit Card,Cashfree,799.0,Success,New,South,16.94
PAY10203,2025-05-03 18:01:48.180,CUST1190,Credit Card,Stripe,999.0,Success,New,East,22.16
PAY10204,2025-05-04 08:36:51.686,CUST1115,UPI,Razorpay,2499.0,Pending,New,West,20.54
PAY10205,2025-05-04 23:11:55.192,CUST1139,Wallet,Razorpay,3999.0,Success,New,West,17.44
PAY10206,2025-05-05 13:46:58.698,CUST1103,Net Banking,Stripe,499.0,Success,New,West,3.65
PAY10207,2025-05-06 04:22:02.204,CUST1171,Wallet,PayU,799.0,Success,Returning,Central,7.94
PAY10208,2025-05-06 18:57:05.710,CUST1095,Net Banking,PayU,999.0,Success,New,West,8.44
PAY10209,2025-05-07 09:32:09.215,CUST1017,Wallet,PayU,299.0,Success,New,North,7.0
PAY10210,2025-05-08 00:07:12.721,CUST1225,Wallet,PayU,2499.0,Success,New,West,13.36
PAY10211,2025-05-08 14:42:16.227,CUST1160,Wallet,Stripe,499.0,Success,New,Central,13.85
PAY10212,2025-05-09 05:17:19.733,CUST1250,Net Banking,PayU,1499.0,Success,New,West,9.57
PAY10213,2025-05-09 19:52:23.239,CUST1221,Net Banking,Cashfree,299.0,Success,Returning,East,9.49
PAY10214,2025-05-10 10:27:26.745,CUST1213,Wallet,PayU,799.0,Success,Returning,East,20.89
PAY10215,2025-05-11 01:02:30.250,CUST1085,Credit Card,Razorpay,499.0,Success,New,Central,19.94
PAY10216,2025-05-11 15:37:33.756,CUST1168,Debit Card,PayU,299.0,Success,Returning,North,8.39
PAY10217,2025-05-12 06:12:37.262,CUST1151,Debit Card,Stripe,2499.0,Success,Returning,North,22.93
PAY10218,2025-05-12 20:47:40.768,CUST1056,Debit Card,Razorpay,1499.0,Success,Returning,South,23.87
PAY10219,2025-05-13 11:22:44.274,CUST1134,Net Banking,Stripe,299.0,Success,New,Central,8.84
PAY10220,2025-05-14 01:57:47.780,CUST1086,Net Banking,Stripe,1999.0,Failed,Returning,West,9.51
PAY10221,2025-05-14 16:32:51.285,CUST1178,Credit Card,Razorpay,1499.0,Success,New,Central,13.14
PAY10222,2025-05-15 07:07:54.791,CUST1102,Debit Card,Stripe,1499.0,Success,Returning,South,23.59
PAY10223,2025-05-15 21:42:58.297,CUST1165,Debit Card,Stripe,2499.0,Success,New,Central,22.03
PAY10224,2025-05-16 12:18:01.803,CUST1237,Wallet,PayU,3999.0,Success,New,Central,3.46
PAY10225,2025-05-17 02:53:05.309,CUST1192,Net Banking,Cashfree,3999.0,Success,Returning,South,10.43
PAY10226,2025-05-17 17:28:08.815,CUST1243,Debit Card,Stripe,3999.0,Success,New,North,14.28
PAY10227,2025-05-18 08:03:12.321,CUST1054,Credit Card,Stripe,499.0,Refunded,Returning,West,13.08
PAY10228,2025-05-18 22:38:15.826,CUST1200,Credit Card,Stripe,799.0,Success,Returning,South,5.65
PAY10229,2025-05-19 13:13:19.332,CUST1233,Debit Card,PayU,2499.0,Pending,Returning,East,21.61
PAY10230,2025-05-20 03:48:22.838,CUST1177,Net Banking,Cashfree,1499.0,Success,New,North,17.25
PAY10231,2025-05-20 18:23:26.344,CUST1227,Credit Card,Razorpay,499.0,Failed,Returning,East,21.11
PAY10232,2025-05-21 08:58:29.850,CUST1115,Wallet,PayU,799.0,Success,New,North,21.61
PAY10233,2025-05-21 23:33:33.356,CUST1139,Credit Card,PayU,1999.0,Success,New,West,18.96
PAY10234,2025-05-22 14:08:36.861,CUST1088,UPI,Cashfree,2499.0,Success,Returning,West,11.54
PAY10235,2025-05-23 04:43:40.367,CUST1049,UPI,Cashfree,3999.0,Success,New,Central,15.65
PAY10236,2025-05-23 19:18:43.873,CUST1149,Net Banking,PayU,299.0,Success,New,East,4.85
PAY10237,2025-05-24 09:53:47.379,CUST1115,Debit Card,Razorpay,2499.0,Success,Returning,North,17.17
PAY10238,2025-05-25 00:28:50.885,CUST1194,Net Banking,PayU,2999.0,Success,New,West,5.3
PAY10239,2025-05-25 15:03:54.391,CUST1063,Net Banking,Cashfree,799.0,Success,New,South,17.65
PAY10240,2025-05-26 05:38:57.896,CUST1104,Net Banking,Razorpay,999.0,Success,Returning,West,6.51
PAY10241,2025-05-26 20:14:01.402,CUST1083,Net Banking,Cashfree,1999.0,Pending,New,South,3.82
PAY10242,2025-05-27 10:49:04.908,CUST1103,Wallet,Razorpay,2499.0,Refunded,Returning,North,4.97
PAY10243,2025-05-28 01:24:08.414,CUST1156,Wallet,Stripe,999.0,Pending,Returning,West,1.05
PAY10244,2025-05-28 15:59:11.920,CUST1017,Credit Card,Cashfree,2999.0,Success,Returning,West,18.25
PAY10245,2025-05-29 06:34:15.426,CUST1006,UPI,Cashfree,1499.0,Success,Returning,North,18.58
PAY10246,2025-05-29 21:09:18.932,CUST1147,Net Banking,PayU,299.0,Pending,New,West,13.36
PAY10247,2025-05-30 11:44:22.437,CUST1184,Credit Card,Cashfree,999.0,Success,New,South,4.87
PAY10248,2025-05-31 02:19:25.943,CUST1230,UPI,Cashfree,799.0,Refunded,Returning,West,3.01
PAY10249,2025-05-31 16:54:29.449,CUST1028,Debit Card,Stripe,3999.0,Refunded,Returning,East,1.46
PAY10250,2025-06-01 07:29:32.955,CUST1194,Wallet,Cashfree,2999.0,Failed,New,Central,4.98
PAY10251,2025-06-01 22:04:36.461,CUST1038,UPI,Stripe,299.0,Success,New,South,22.38
PAY10252,2025-06-02 12:39:39.967,CUST1119,Debit Card,Stripe,1999.0,Success,New,East,6.8
PAY10253,2025-06-03 03:14:43.472,CUST1037,UPI,Stripe,3999.0,Failed,New,North,9.5
PAY10254,2025-06-03 17:49:46.978,CUST1115,Wallet,Stripe,2499.0,Success,Returning,South,3.53
